cell_id,area_microns_sq,perimeter_microns,circularity,chlorophyll_index,mean_ndvi,mean_gci,biomass_ensemble,biomass_uncertainty,ml_cell_type,ml_health_status,ml_health_score,ml_growth_stage,is_anomaly,image,timestamp
1,154.61499999999998,44.93954903232549,0.9620642326388097,0.15382994319223015,0.028283007789026746,0.0,0.019016617061399153,0.026055058795244633,small,healthy,0.9388386045466329,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
2,63.57999999999999,28.23122292025696,1.002469123311061,0.15594919786096262,0.020101290707871977,0.0,0.0054024832093850375,0.006943575930864452,small,healthy,0.8924578145698764,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
3,133.6625,40.83538597629122,1.0072704979898301,0.14512983571807103,0.017206290784889406,0.0,0.015723300425410983,0.02157952581912609,small,healthy,0.8859111223082101,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
4,107.65249999999999,38.25518215624839,0.9243861617351032,0.1238057639163048,0.04008297241903089,0.0,0.01138915564225841,0.015337471688749865,small,healthy,0.8300595588370564,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
5,61.412499999999994,32.03852993211135,0.7518331660565645,0.13301038062283738,0.01521295995153045,0.0,0.0043766398236630005,0.005012564230258806,tiny,healthy,0.8344531816641052,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
6,95.36999999999999,35.82081528017131,0.9340082543723568,0.13403149138443254,0.035902279879354716,0.0,0.010018803804438363,0.013690637310470538,small,healthy,0.8547378612964663,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
7,162.56249999999997,51.739549032325485,0.7631061532784739,0.11582570806100217,0.0453421041944328,0.0,0.021846506994680753,0.03117002995660115,small,healthy,0.8293141546192758,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
8,1002.8299999999999,137.42905473706213,0.6672369106411508,0.02992032547889456,0.004692243278020376,0.0,0.33420287002991983,0.526148565092235,tiny,stressed,0.3914466771725763,young,True,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
9,23.119999999999997,25.178122292025694,0.4583012233780328,0.14105392156862745,0.03695750123810376,0.0,0.0008076479064364726,0.0004750432754125013,tiny,healthy,0.7601644104524334,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
10,164.73,51.03538597629122,0.7947668699566776,0.11907464740282075,0.0507475192493163,0.0,0.02146237186293472,0.030089832684949087,small,healthy,0.8505750654237084,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
11,80.91999999999999,31.13330444827409,1.0490961686437295,0.10119047619047619,0.03307584420553214,0.0,0.007699535284491004,0.010271877767044284,small,healthy,0.7092076564231508,daughter_frond,False,uploads\20250527_214853_1-2305111111111111111111111111111111111111111.jpg,20250527_214853
